id,name,slug,parent_id
1,Jewelry,jewelry,
2,Rings,rings,1
3,Necklaces,necklaces,1
4,Earrings,earrings,1
5,Bracelets,bracelets,1
6,Gold Rings,gold-rings,2
7,Silver Rings,silver-rings,2
8,Diamond Rings,diamond-rings,2
9,Platinum Rings,platinum-rings,2
10,Gold Necklaces,gold-necklaces,3
11,Silver Necklaces,silver-necklaces,3
12,Diamond Necklaces,diamond-necklaces,3
13,Gold Earrings,gold-earrings,4
14,Silver Earrings,silver-earrings,4
15,Diamond Earrings,diamond-earrings,4
16,Platinum Earrings,platinum-earrings,4
17,Gold Bracelets,gold-bracelets,5
18,Silver Bracelets,silver-bracelets,5
19,Diamond Bracelets,diamond-bracelets,5
20,Platinum Bracelets,platinum-bracelets,5
21,Wedding Rings,wedding-rings,2
22,Engagement Rings,engagement-rings,2
23,Couple Rings,couple-rings,2
24,Statement Rings,statement-rings,2
25,Pendant Necklaces,pendant-necklaces,3
26,Chain Necklaces,chain-necklaces,3
27,Choker Necklaces,choker-necklaces,3
28,Bridal Necklaces,bridal-necklaces,3
29,Stud Earrings,stud-earrings,4
30,Hoop Earrings,hoop-earrings,4
31,Drop Earrings,drop-earrings,4
32,Jhumka Earrings,jhumka-earrings,4
33,Chain Bracelets,chain-bracelets,5
34,Charm Bracelets,charm-bracelets,5
35,Tennis Bracelets,tennis-bracelets,5
36,Cuff Bracelets,cuff-bracelets,5
37,Mens Jewelry,mens-jewelry,1
38,Womens Jewelry,womens-jewelry,1
39,Bridal Jewelry,bridal-jewelry,1
40,Everyday Jewelry,everyday-jewelry,1
